identity,group,n,skipped,acc,f1,tpr,fpr,pos_rate
male,male=0,951,False,0.8696109358569927,0.1267605633802817,0.16071428571141583,0.0860335195529765,0.0904311251314406
male,male=1,49,False,0.7551020408163265,0.0,0.0,0.11904761904478459,0.10204081632653061
female,female=0,956,False,0.8682008368200836,0.125,0.15254237287877048,0.08472686733546854,0.08891213389121339
female,female=1,44,False,0.7727272727272727,0.0,0.0,0.14999999999625002,0.13636363636363635
black,black=0,987,False,0.8642350557244174,0.10666666666666667,0.1333333333311111,0.08845738942816779,0.0911854103343465
black,black=1,13,False,0.8461538461538461,0.5,0.3333333332222222,0.0,0.07692307692307693
white,white=0,981,False,0.8654434250764526,0.10810810810810811,0.13793103448038052,0.08884073672796441,0.09174311926605505
white,white=1,19,False,0.7894736842105263,0.3333333333333333,0.19999999996,0.0,0.05263157894736842
muslim,muslim=0,994,False,0.8651911468812877,0.11842105263157894,0.14754098360413867,0.08788853161834095,0.09154929577464789
muslim,muslim=1,6,False,0.6666666666666666,0.0,0.0,0.0,0.0
jewish,jewish=0,988,False,0.8653846153846154,0.11920529801324503,0.14999999999750002,0.08836206896542202,0.09210526315789473
jewish,jewish=1,12,False,0.75,0.0,0.0,0.0,0.0
christian,christian=0,965,False,0.8652849740932642,0.1095890410958904,0.13559322033668486,0.08719646799107374,0.09015544041450778
christian,christian=1,35,False,0.8285714285714286,0.25,0.2499999999375,0.09677419354526536,0.11428571428571428
transgender,transgender=0,999,False,0.8648648648648649,0.11764705882352941,0.14516129032023933,0.08751334044814567,0.09109109109109109
transgender,transgender=1,1,False,0.0,0.0,0.0,0.0,0.0
homosexual_gay_or_lesbian,homosexual_gay_or_lesbian=0,996,False,0.8654618473895582,0.11842105263157894,0.14754098360413867,0.0877005347592645,0.09136546184738956
homosexual_gay_or_lesbian,homosexual_gay_or_lesbian=1,4,False,0.5,0.0,0.0,0.0,0.0
